9.619953989982605, false, a -0.63134766, a 0.40478516, a 0.7246094, q 0.84125787, q 0.32684729, q 0.40478516, q 0.7246094, e -3, e 0, e 0, e -6, e -2, e -2, e 0, e 0
9.621263027191162, false, a -0.625, a 0.40234375, a 0.7265625, q 0.8412869, q 0.32698062, q 0.40234375, q 0.7265625, e 1, e -1, e -1, e -2, e -3, e -1, e 0, e 0
9.622575998306274, false, a -0.6225586, a 0.4008789, a 0.72021484, q 0.8413936, q 0.32697466, q 0.4008789, q 0.72021484, e -7, e -2, e -1, e -6, e -7, e -3, e -1, e -2
9.624055027961731, false, a -0.62890625, a 0.39941406, a 0.7348633, q 0.84150374, q 0.32684794, q 0.39941406, q 0.7348633, e -2, e -1, e -1, e -2, e -5, e 1, e 0, e 1
9.639409065246582, false, a -0.62597656, a 0.40234375, a 0.73339844, q 0.84159005, q 0.3267967, q 0.40234375, q 0.73339844, e 0, e -1, e -1, e 2, e 2, e -1, e -3, e -1
9.669183015823364, false, a -0.6220703, a 0.39990234, a 0.73291016, q 0.8417133, q 0.32673615, q 0.39990234, q 0.73291016, e -1, e -2, e 0, e -2, e 1, e -2, e -3, e -3
9.671059012413025, false, a -0.62841797, a 0.39746094, a 0.7290039, q 0.84180903, q 0.3267259, q 0.39746094, q 0.7290039, e 2, e 0, e 0, e -1, e -2, e -1, e 2, e 0
9.699351072311401, false, a -0.6176758, a 0.390625, a 0.7265625, q 0.84192497, q 0.3265404, q 0.390625, q 0.7265625, e 3, e 1, e -1, e -3, e -1, e -2, e 0, e -2
9.729264974594116, false, a -0.62890625, a 0.3984375, a 0.7324219, q 0.8419442, q 0.3265479, q 0.3984375, q 0.7324219, e -2, e -1, e -3, e 1, e -2, e -1, e 0, e 0
9.73089599609375, false, a -0.6333008, a 0.3984375, a 0.734375, q 0.8420113, q 0.32655025, q 0.3984375, q 0.734375, e -2, e -2, e 0, e 3, e 0, e 0, e 3, e 0
9.75931203365326, false, a -0.6303711, a 0.40039062, a 0.73339844, q 0.84202707, q 0.32667843, q 0.40039062, q 0.73339844, e 1, e -2, e 0, e -5, e 1, e -1, e -1, e 0
